custom_id,civility,FirstName,LastName,gender,age,pursuit, income ,segment_client,relocation score,equipement,marque
2092325,MME,Eloise,Ranc,F,64,Employee,143000,Gold,0.2,Smartphone,Apple
18348,MME,Sara,Bey,F,60,artisan,128000,Platinium,0.4,Tablet,Dell
2260128,Miss,Melina,Chabot,F,44,retired,72000,Platinium,0.4,Smartphone,Apple
2111262,MME,Clarisse,Louvet,F,46,Employee,141000,Silver,0.2,Tablet,Samsung
2116008,MME,Mathilde,Bertin,F,66,worker,72000,Platinium,0.8,Smartphone,LG
1918851,MME,Andrea,Chretien,F,47,retired,12000,Bronze,0.1,Laptop,Apple
1829457,MME,Sofia,Point,F,74,Employee,54000,Bronze,0.5,Smartphone,Samsung
2061861,MME,Loane,Favier,F,47,retired,93000,Platinium,0.4,Smartphone,Samsung
542733,Miss,Ninon,Grosjean,F,37,retired,136000,Bronze,0.6,Smartphone,Microsoft
1281623,MME,Sarah,Raffin,F,23,retired,136000,Silver,0.5,Tablet,Samsung
3607132,MME,Julie,Edouard,F,45,retired,114000,Platinium,0.2,Smartphone,Apple
3516064,MME,Justine,Lecat,F,19,retired,31000,Bronze,0.7,Smartphone,LG
1047758,MME,Lina,Borie,F,63,functionary,12000,Bronze,1,Tablet,Samsung
954361,MME,Agathe,Pelle,F,60,worker,14000,Bronze,0.5,Smartphone,Samsung
116723,Miss,Ninon,Cotte,F,66,worker,72000,Platinium,0.3,Smartphone,Apple
2352486,MME,Lise,Blot,F,55,worker,62000,Platinium,0.2,Laptop,Apple
2335699,MME,Alice,Leduc,F,63,functionary,12000,Bronze,0.8,Smartphone,Apple
1178904,MME,Marine,Diallo,F,39,Employee,122000,Platinium,0.8,Smartphone,Apple
1548039,MME,Jade,Hoffmann,F,49,Employee,78000,Platinium,0.3,Tablet,Apple
218912,MME,Salome,Garel,F,45,executive,20000,Platinium,0.9,Tablet,Samsung
3425515,MME,Julia,Fremont,F,75,functionary,119000,Bronze,0.2,Laptop,Apple
1309756,MME,Louane,Franco,F,72,Employee,132000,Platinium,0.1,Laptop,Dell
469609,MME,Romane,Koch,F,78,Ouvrier,149000,Silver,0.8,Tablet,LG
1897338,MME,Chloe,Bordes,F,30,retired,46000,Gold,0.4,Tablet,Apple
